Commune,Richesse,Population totale
Sidi Bennour (Ville),High,56201
Zemamra (Ville),High,13993
Bni Hilal (Commune rurale),Medium,17843
Bni Tsiriss (Commune rurale),High,12000
Bouhmame (Commune rurale),Low,23234
Jabria (Commune rurale),High,11000
Khmis Ksiba (Commune rurale),High,6637
Koudiat Bni Dghough (Commune rurale),High,9000
Kridid (Commune rurale),Low,7500
Laagagcha (Commune rurale),High,10200
Laamria (Commune rurale),High,8900
Laaounate (Commune rurale),Low,13793
Laatatra (Commune rurale),Low,7000
Lmechrek (Commune rurale),Medium,14853
Metrane (Commune rurale),High,10580
M'tal (Commune rurale),High,9500
Oulad Amrane (Commune rurale),High,11000
Oulad Boussaken (Commune rurale),Low,8600
Oulad Si Bouhya (Commune rurale),High,18902
Tamda (Commune rurale),High,9400
Laghnadra (Commune rurale),Low,7200
Lgharbia (Commune rurale),High,9800
Loualidia (Commune rurale),High,10500
Oulad Sbaita (Commune rurale),Low,6800
Saniat Berguig (Commune rurale),Medium,28361
